Path,Table,Rows,SizeMB,DataAsOf
_data_quality_answer_key.csv,_data_quality_answer_key,23746,1.63,2026-09-25
activities/fact_activities_FY2023-24.csv,fact_activities,246245,24.2,2026-09-25
activities/fact_activities_FY2024-25.csv,fact_activities,499446,49.32,2026-09-25
activities/fact_activities_FY2025-26.csv,fact_activities,546475,54.15,2026-09-25
activities/fact_activities_FY2026-27.csv,fact_activities,286697,28.57,2026-09-25
dim_accounts.csv,dim_accounts,4956,0.91,2026-09-25
dim_contacts.csv,dim_contacts,48596,5.38,2026-09-25
dim_outlets.csv,dim_outlets,9,0.0,2026-09-25
dim_products.csv,dim_products,21,0.0,2026-09-25
dim_users.csv,dim_users,217,0.03,2026-09-25
fact_leads.csv,fact_leads,106910,20.09,2026-09-25
fact_opportunities.csv,fact_opportunities,43121,9.86,2026-09-25
fact_opportunity_lines.csv,fact_opportunity_lines,43785,2.22,2026-09-25
fact_pipeline_snapshot.csv,fact_pipeline_snapshot,43643,2.7,2026-09-25
fact_report_requests.csv,fact_report_requests,1495,0.21,2026-09-25
fact_stage_history.csv,fact_stage_history,177615,13.91,2026-09-25
fact_targets.csv,fact_targets,288,0.01,2026-09-25
