AccountID,AccountName,AccountType,Industry,ParentAccountID,City,State,Website,GSTIN,DUNS,ParentDUNS,KN_Designation,EstimatedFleetSize,OwnerUserID,CreatedOn
ACC-00001,Namma Retail Pvt Ltd,Corporate (Staff & Executive Cars),Retail,,Bengaluru,Karnataka,nammaretail.in,29FWZCN7542C1ZH,837827971,,Key,50,USR-197,2023-11-27 15:34:25
ACC-00002,Namma Retail Pvt Ltd - Mangaluru Branch,Corporate (Staff & Executive Cars),Retail,ACC-00001,Mangalore,Karnataka,nammaretail.in,29FWZCN7542C1ZH,,,Key,15,USR-198,2026-03-31 23:17:30
ACC-00003,Namma Retail Pvt Ltd - Mangaluru Branch,Corporate (Staff & Executive Cars),,,Mangaluru,Karnataka,nammaretail.in,29FWZCN7542C1ZH,973796254,837827971,Key,10,USR-197,2025-03-05 11:10:02
ACC-00004,Yashas Employee Transport Solutions LLP,Employee Transport Services,Transportation Services,,Bengaluru,Karnataka,yashasemployeetranspor.in,29PLLFY8006Q1Z4,343835894,,Named,225,USR-208,2022-09-11 04:35:07
ACC-00005,Yashas Employee Transport Solutions LLP - Mangaluru Branch,Employee Transport Services,Transportation Services,ACC-00004,Mangaluru,Karnataka,yashasemployeetranspor.in,29PLLFY8006Q1Z4,163468327,343835894,Named,54,USR-206,2024-02-17 07:03:07
ACC-00006,Yashas Employee Transport Solutions LLP - Belagavi Branch,Employee Transport Services,Transportation Services,ACC-00004,Belagavi,Karnataka,yashasemployeetranspor.in,29PLLFY8006Q1Z4,802447320,343835894,Named,63,USR-206,2023-01-01 12:39:49
ACC-00007,Yashas Employee Transport Solutions LLP - Davanagere Branch,Employee Transport Services,Transportation Services,ACC-00004,Davanagere,Karnataka,yashasemployeetranspor.in,29PLLFY8006Q1Z4,194135482,343835894,,69,USR-211,2024-07-29 12:15:04
ACC-00008,Yashas Commute Solutions Pvt Ltd,Employee Transport Services,Transportation Services,ACC-00004,Bengaluru,Karnataka,yashascommutesolutions.in,29YZACY6166B1Z6,,,Named,373,USR-204,2022-11-25 22:22:19
ACC-00009,Navya Leasing Ltd,Leasing & Subscription,Banking & Financial Services,,Bengaluru,Karnataka,navyaleasingltd.co.in,29IWOCN0582H1ZL,316640320,,Named,735,USR-216,2021-05-09 23:10:10
ACC-00010,Navya Car Subscription Services Pvt Ltd,Leasing & Subscription,Banking & Financial Services,ACC-00009,Belagavi,Karnataka,navyacarsubscriptionse.in,29PJDCN1011K1ZQ,482481446,316640320,,678,USR-216,2023-09-25 06:43:04
ACC-00011,Navya Leasing Ltd - Hubballi Branch,Leasing & Subscription,Banking & Financial Services,ACC-00009,Hubballi,Karnataka,navyaleasingltd.co.in,29IWOCN0582H1ZL,206559174,316640320,,220,USR-202,2022-04-26 20:26:35
ACC-00012,Navya Leasing Pvt Ltd,Leasing & Subscription,Banking & Financial Services,ACC-00009,Bengaluru,Karnataka,navyaleasing.in,29LRPCN1633Q1ZE,701497665,316640320,Named,394,USR-216,2022-02-28 06:26:34
ACC-00013,Navya Leasing Ltd - Belagavi Branch,Leasing & Subscription,Banking & Financial Services,ACC-00009,Belagavi,Karnataka,navyaleasingltd.co.in,29IWOCN0582H1ZL,225661288,316640320,Named,108,USR-209,2022-09-06 07:46:05
ACC-00014,Navya Leasing Ltd - Hubballi Branch,Leasing & Subscription,Banking & Financial Services,ACC-00481,Hubballi,Karnataka,navyaleasingltd.co.in,,828072641,316640320,Named,253,USR-216,2023-09-11 03:12:24
ACC-00015,Navya Fleet Leasing Pvt Ltd,Leasing & Subscription,Banking & Financial Services,ACC-00009,Bengaluru,Karnataka,navyafleetleasing.com,29FNJCN9935M1ZL,,,Named,503,USR-204,2023-07-07 02:11:28
ACC-00016,Vasudha Mobility Services Pvt Ltd,Employee Transport Services,Transportation Services,,Bengaluru,Karnataka,vasudhamobilityservice.in,29SNBCV9157W1ZQ,610703301,,Key,251,USR-199,2025-03-26 17:22:37
ACC-00017,Vasudha Mobility Services Pvt Ltd - Udupi Branch,Employee Transport Services,Transportation Services,ACC-00016,Udupi,Karnataka,vasudhamobilityservice.in,29SNBCV9157W1ZQ,880572735,610703301,,43,USR-208,2026-01-20 23:50:11
ACC-00018,Vasudha Employee Transport Solutions Ltd,Employee Transport Services,Transportation Services,ACC-00016,Shivamogga,Karnataka,vasudhaemployeetranspo.co.in,29QDXCV7957H1ZI,,,,136,USR-208,2026-09-22 00:00:00
ACC-00019,Shree Balaji Capital Pvt Ltd,Corporate (Staff & Executive Cars),Banking & Financial Services,,Bengaluru,Karnataka,shreebalajicapital.in,29COUCS7244L1ZI,874321231,,Key,23,USR-198,2021-09-29 12:24:36
ACC-00020,Shree Balaji Capital Pvt Ltd - Belagavi Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00019,Belagavi,Karnataka,shreebalajicapital.in,29COUCS7244L1ZI,144205879,874321231,,8,USR-214,2024-02-25 09:46:41
ACC-00021,Shree Balaji Capital Pvt Ltd - Hubballi Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00019,Hubballi,Karnataka,shreebalajicapital.in,29COUCS7244L1ZI,275611816,874321231,,6,USR-204,2022-03-12 03:36:58
ACC-00022,Shree Balaji Capital Pvt Ltd - Davanagere Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00019,Davanagere,Karnataka,shreebalajicapital.in,29COUCS7244L1ZI,,,,6,USR-202,2023-04-27 03:04:19
ACC-00023,Brindavan Self Drive Cars,Car Rental & Self-Drive,Automotive Rental,,BLR,Karnataka,brindavanselfdrivecars.com,29IUDPB5404K1ZJ,,,Named,267,USR-201,2022-07-14 10:58:49
ACC-00024,Brindavan Self Drive Cars - Tumakuru Branch,Car Rental & Self-Drive,Automotive Rental,ACC-00023,Tumakuru,Karnataka,brindavanselfdrivecars.com,29IUDPB5404K1ZJ,,,,38,USR-216,2023-08-26 16:45:50
ACC-00025,Brindavan Self Drive Cars - Shivamogga Branch,Car Rental & Self-Drive,Automotive Rental,ACC-00023,Shivamogga,Karnataka,brindavanselfdrivecars.com,29IUDPB5404K1ZJ,,,Named,60,USR-202,2023-01-23 22:24:26
ACC-00026,Pinnacle Software Solutions Pvt Ltd,Corporate (Staff & Executive Cars),Information Technology,,Bengaluru,Karnataka,pinnaclesoftwaresoluti.com,,673848081,,Named,46,USR-202,2018-10-03 07:22:27
ACC-00027,Pinnacle Healthcare Products Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,ACC-00026,Bengaluru,Karnataka,pinnaclehealthcareprod.com,29LQFCP8562U1ZY,,,Named,52,USR-202,2018-12-24 19:04:54
ACC-00028,Pinnacle Software Solutions Pvt Ltd - Shivamogga Branch,Corporate (Staff & Executive Cars),Information Technology,ACC-00026,Shivamogga,Karnataka,pinnaclesoftwaresoluti.com,29TPGCP2279S1Z1,,,Named,14,USR-205,2019-09-21 00:01:25
ACC-00029,Pinnacle Software Solutions Pvt Ltd - Davanagere Branch,Corporate (Staff & Executive Cars),Information Technology,ACC-00026,Davanagere,Karnataka,pinnaclesoftwaresoluti.com,29TPGCP2279S1Z1,770683457,673848081,Named,6,USR-202,2019-12-07 06:06:28
ACC-00030,Namma Finance Pvt Ltd,Corporate (Staff & Executive Cars),Banking & Financial Services,,Bengaluru,Karnataka,nammafinance.co.in,29KHICN5293E1ZG,894543008,,Key,47,USR-197,2024-03-20 06:04:08
ACC-00031,Namma Finance Pvt Ltd - Belagavi Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00030,Belagavi,Karnataka,nammafinance.co.in,29KHICN5293E1ZG,846342659,894543008,Key,8,USR-199,2024-08-25 12:19:22
ACC-00032,Namma Finance Pvt Ltd - Shivamogga Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00030,Shivamogga,Karnataka,nammafinance.co.in,29KHICN5293E1ZG,,,Key,14,USR-197,2024-06-19 02:14:29
ACC-00033,Namma Industries Pvt Ltd,Corporate (Staff & Executive Cars),Manufacturing,ACC-00030,Bengaluru,Karnataka,nammafinance.co.in,29EIKCN7190G1ZD,112990809,894543008,Key,15,USR-198,2025-05-14 05:20:00
ACC-00034,Namma Finance Pvt Ltd - Belagavi Branch,Corporate (Staff & Executive Cars),Banking & Financial Services,ACC-00030,Belagavi,Karnataka,nammafinance.co.in,29KHICN5293E1ZG,,,Key,7,USR-197,2025-01-07 19:58:14
ACC-00035,Namma Digital Systems LLP,Corporate (Staff & Executive Cars),Information Technology,,Belagavi,Karnataka,nammafinance.co.in,29PVXFN5042U1ZD,521810951,894543008,Key,32,USR-200,2025-06-26 10:53:10
ACC-00036,Vega Healthcare Products Pvt Ltd,Corporate (Staff & Executive Cars),Pharmaceuticals,,Mangaluru,Karnataka,vegahealthcareproducts.co.in,29FBWCV7705Z1ZB,774098942,,Named,108,USR-202,2020-12-05 20:49:50
