LineID,OpportunityID,ProductID,Quantity,UnitPriceINR,DiscountPct,LineValueINR
OPL-0000001,OPP-000001,PRD16,7,1272100,5.79,8389522
OPL-0000002,OPP-000002,PRD01,2,541300,4.51,1033743
OPL-0000003,OPP-000003,PRD03,5,987200,8.5,4516518
OPL-0000004,OPP-000004,PRD01,1,628300,8.79,573062
OPL-0000005,OPP-000004,PRD13,1,1048100,8.79,955955
OPL-0000006,OPP-000005,PRD21,6,1953800,8.9,10679801
OPL-0000007,OPP-000006,PRD14,1,1284500,3.51,1239350
OPL-0000008,OPP-000007,PRD21,1,1826700,1.7,1795638
OPL-0000009,OPP-000008,PRD16,1,1503600,1.62,1479199
OPL-0000010,OPP-000009,PRD09,1,682600,4.66,650809
OPL-0000011,OPP-000010,PRD03,1,993400,4.41,949562
OPL-0000012,OPP-000011,PRD08,1,606700,5.23,574978
OPL-0000013,OPP-000012,PRD01,1,558000,5.21,528909
OPL-0000014,OPP-000013,PRD01,1,642700,4.29,615122
OPL-0000015,OPP-000014,PRD19,1,1589500,3.69,1530878
OPL-0000016,OPP-000015,PRD01,1,563400,5.34,533322
OPL-0000017,OPP-000016,PRD09,1,829400,2.68,807196
OPL-0000018,OPP-000017,PRD01,1,592100,1.79,581519
OPL-0000019,OPP-000018,PRD14,1,1223400,2.79,1189324
OPL-0000020,OPP-000019,PRD02,1,713900,1.74,701513
OPL-0000021,OPP-000020,PRD01,1,593900,3.48,573256
OPL-0000022,OPP-000021,PRD16,1,1568700,4.35,1500504
OPL-0000023,OPP-000022,PRD09,1,835000,4.18,800078
OPL-0000024,OPP-000023,PRD08,1,669400,2.11,655258
OPL-0000025,OPP-000024,PRD08,1,738000,3.62,711300
OPL-0000026,OPP-000025,PRD13,1,887300,4.61,846388
OPL-0000027,OPP-000026,PRD01,1,605000,2.01,592828
OPL-0000028,OPP-000027,PRD13,1,958700,3.54,924750
OPL-0000029,OPP-000028,PRD05,1,788100,3.27,762334
OPL-0000030,OPP-000029,PRD19,1,1533900,1.84,1505688
OPL-0000031,OPP-000030,PRD12,1,900800,3.73,867186
OPL-0000032,OPP-000031,PRD09,1,715600,4.11,686209
OPL-0000033,OPP-000032,PRD08,1,617700,2.74,600777
OPL-0000034,OPP-000033,PRD02,1,653700,3.54,630555
OPL-0000035,OPP-000034,PRD14,1,1000500,2.78,972650
OPL-0000036,OPP-000035,PRD02,1,691000,4.31,661224
OPL-0000037,OPP-000036,PRD11,1,775800,2.59,755690
OPL-0000038,OPP-000037,PRD13,1,979600,2.24,957666
OPL-0000039,OPP-000038,PRD02,1,686900,2.17,671997
OPL-0000040,OPP-000039,PRD19,1,1758800,4.84,1673624
OPL-0000041,OPP-000040,PRD08,1,636400,5.41,601950
OPL-0000042,OPP-000041,PRD05,1,855000,4.11,819817
OPL-0000043,OPP-000042,PRD08,1,723500,2.95,702183
OPL-0000044,OPP-000043,PRD01,1,566100,1.61,557006
OPL-0000045,OPP-000044,PRD01,1,556100,3.35,537449
OPL-0000046,OPP-000045,PRD01,1,654600,2.37,639109
OPL-0000047,OPP-000046,PRD09,1,754000,5.02,716157
OPL-0000048,OPP-000047,PRD21,1,1975400,1.89,1938014
OPL-0000049,OPP-000048,PRD01,1,635100,3.51,612811
OPL-0000050,OPP-000049,PRD08,1,646600,2.68,629278
OPL-0000051,OPP-000050,PRD13,1,1023400,1.86,1004318
OPL-0000052,OPP-000051,PRD02,1,702000,3.67,676252
OPL-0000053,OPP-000052,PRD16,1,1313800,4.56,1253933
OPL-0000054,OPP-000053,PRD08,1,762100,2.4,743774
OPL-0000055,OPP-000054,PRD08,1,754500,3.39,728903
OPL-0000056,OPP-000055,PRD13,1,930000,2.19,909603
OPL-0000057,OPP-000056,PRD13,1,1008800,4.6,962420
OPL-0000058,OPP-000057,PRD13,1,990600,3.01,960792
OPL-0000059,OPP-000058,PRD13,1,997500,4.58,951858
OPL-0000060,OPP-000059,PRD02,1,670800,2.37,654925
OPL-0000061,OPP-000060,PRD02,1,706200,4.51,674342
OPL-0000062,OPP-000061,PRD01,1,532900,4.72,507753
OPL-0000063,OPP-000062,PRD11,1,804000,4.79,765471
OPL-0000064,OPP-000063,PRD02,1,686500,4.62,654775
OPL-0000065,OPP-000064,PRD12,1,872100,2.93,846557
OPL-0000066,OPP-000065,PRD11,1,830900,2.22,812469
OPL-0000067,OPP-000066,PRD09,2,872800,3.01,1693144
OPL-0000068,OPP-000067,PRD16,1,1476600,5.28,1398676
OPL-0000069,OPP-000068,PRD21,1,1621000,3.97,1556595
OPL-0000070,OPP-000069,PRD08,1,767000,2.74,745986
OPL-0000071,OPP-000070,PRD09,1,682000,2.7,663616
OPL-0000072,OPP-000071,PRD01,1,538100,3.63,518578
OPL-0000073,OPP-000072,PRD14,1,1094700,3.1,1060772
OPL-0000074,OPP-000073,PRD02,1,721500,4.67,687830
OPL-0000075,OPP-000074,PRD05,1,741800,3.95,712522
OPL-0000076,OPP-000075,PRD13,1,1020900,3.13,988983
OPL-0000077,OPP-000076,PRD01,1,551200,4.13,528414
OPL-0000078,OPP-000077,PRD01,1,595200,3.35,575276
OPL-0000079,OPP-000078,PRD02,1,775800,2.23,758501
OPL-0000080,OPP-000079,PRD06,1,1360800,2.02,1333330
OPL-0000081,OPP-000080,PRD08,1,611500,3.62,589355
OPL-0000082,OPP-000081,PRD21,1,1961700,3.83,1886503
OPL-0000083,OPP-000082,PRD13,1,894100,3.92,859019
OPL-0000084,OPP-000083,PRD19,1,1753400,3.78,1687035
OPL-0000085,OPP-000084,PRD01,1,543200,3.9,522039
OPL-0000086,OPP-000085,PRD13,1,1050800,4.5,1003469
OPL-0000087,OPP-000086,PRD12,1,837300,4.51,799564
OPL-0000088,OPP-000087,PRD02,1,693000,5.08,657802
OPL-0000089,OPP-000088,PRD08,1,733600,3.93,704758
OPL-0000090,OPP-000089,PRD01,1,565400,4.14,542016
OPL-0000091,OPP-000090,PRD14,1,1287800,3.49,1242890
OPL-0000092,OPP-000091,PRD05,1,810900,3.38,783456
OPL-0000093,OPP-000092,PRD01,1,590100,3.03,572239
OPL-0000094,OPP-000093,PRD01,2,656600,4.57,1253239
OPL-0000095,OPP-000094,PRD09,1,821500,2.5,800977
OPL-0000096,OPP-000095,PRD11,1,790700,3.01,766915
OPL-0000097,OPP-000096,PRD19,1,1844100,4.41,1762698
OPL-0000098,OPP-000097,PRD12,1,764500,2.13,748191
OPL-0000099,OPP-000098,PRD08,2,636700,1.59,1253190
OPL-0000100,OPP-000099,PRD19,1,1621200,2.22,1585275
OPL-0000101,OPP-000100,PRD04,1,673600,2.63,655887
OPL-0000102,OPP-000101,PRD08,1,614000,2.3,599880
OPL-0000103,OPP-000102,PRD08,1,600700,4.08,576216
OPL-0000104,OPP-000103,PRD03,1,1066000,3.09,1033047
OPL-0000105,OPP-000104,PRD01,1,517800,5.01,491882
OPL-0000106,OPP-000105,PRD08,1,612400,4.23,586500
OPL-0000107,OPP-000106,PRD13,1,1053400,2.16,1030653
