SnapshotDate,OutletID,Channel,StageNo,Stage,OpenDeals,OpenUnits,OpenValueINR,StaleDeals,OverdueDeals
2023-09-23,OUT02,Retail,1,1-Enquiry,4,4,2676781,0,0
2023-09-23,OUT03,Retail,1,1-Enquiry,1,1,528909,0,0
2023-09-23,OUT04,Retail,1,1-Enquiry,1,1,800078,0,0
2023-09-23,OUT06,Retail,1,1-Enquiry,3,3,2053253,0,0
2023-09-23,OUT07,Retail,1,1-Enquiry,3,3,3539514,0,0
2023-09-24,OUT01,Retail,1,1-Enquiry,3,3,1847773,0,0
2023-09-24,OUT02,Retail,1,1-Enquiry,4,4,3588071,0,0
2023-09-24,OUT02,Retail,2,2-Test Drive / Demo,2,2,2700348,0,0
2023-09-24,OUT03,Retail,1,1-Enquiry,3,3,1932987,0,0
2023-09-24,OUT04,Retail,1,1-Enquiry,3,3,2197548,0,0
2023-09-24,OUT05,Retail,1,1-Enquiry,2,2,2337654,0,0
2023-09-24,OUT06,Retail,1,1-Enquiry,5,5,3715677,0,0
2023-09-24,OUT06,Retail,2,2-Test Drive / Demo,1,1,592828,0,0
2023-09-24,OUT07,Retail,1,1-Enquiry,2,2,2155429,0,0
2023-09-24,OUT07,Retail,2,2-Test Drive / Demo,1,1,533322,0,0
2023-09-25,OUT01,Retail,1,1-Enquiry,7,9,7367970,0,0
2023-09-25,OUT01,Retail,2,2-Test Drive / Demo,1,1,575276,0,0
2023-09-25,OUT02,Retail,1,1-Enquiry,9,9,8447688,0,0
2023-09-25,OUT02,Retail,2,2-Test Drive / Demo,2,2,1464517,0,0
2023-09-25,OUT02,Retail,3,3-Quotation,1,1,1938014,0,0
2023-09-25,OUT03,Retail,1,1-Enquiry,2,2,1184796,0,0
2023-09-25,OUT04,Retail,1,1-Enquiry,10,10,8427825,0,0
2023-09-25,OUT05,Retail,1,1-Enquiry,5,5,6039246,0,0
2023-09-25,OUT05,Retail,2,2-Test Drive / Demo,1,1,1795638,0,0
2023-09-25,OUT06,Retail,1,1-Enquiry,6,6,4645130,0,0
