StageHistoryID,OpportunityID,StageNo,Stage,EnteredOn,ExitedOn,DaysInStage
STH-0000001,OPP-000001,1,1-Enquiry,2023-09-25 06:43:04,2023-10-13 00:35:24,17.74
STH-0000002,OPP-000001,2,2-Test Drive / Demo,2023-10-13 00:35:24,2023-10-19 23:02:23,6.94
STH-0000003,OPP-000001,3,3-Quotation,2023-10-19 23:02:23,2023-11-25 14:13:45,36.63
STH-0000004,OPP-000001,7,7-Closed Lost,2023-11-25 14:13:45,,
STH-0000005,OPP-000002,1,1-Enquiry,2023-09-26 01:30:54,2023-09-30 22:04:19,4.86
STH-0000006,OPP-000002,2,2-Test Drive / Demo,2023-09-30 22:04:19,2023-10-07 18:24:46,6.85
STH-0000007,OPP-000002,7,7-Closed Lost,2023-10-07 18:24:46,,
STH-0000008,OPP-000003,1,1-Enquiry,2023-10-03 02:07:18,2023-10-11 13:36:56,8.48
STH-0000009,OPP-000003,2,2-Test Drive / Demo,2023-10-11 13:36:56,2023-11-08 08:15:56,27.78
STH-0000010,OPP-000003,7,7-Closed Lost,2023-11-08 08:15:56,,
STH-0000011,OPP-000004,1,1-Enquiry,2023-09-25 06:57:11,2023-10-23 21:24:48,28.6
STH-0000012,OPP-000004,2,2-Test Drive / Demo,2023-10-23 21:24:48,2023-11-12 06:56:18,19.4
STH-0000013,OPP-000004,3,3-Quotation,2023-11-12 06:56:18,2023-11-23 16:35:08,11.4
STH-0000014,OPP-000004,7,7-Closed Lost,2023-11-23 16:35:08,,
STH-0000015,OPP-000005,1,1-Enquiry,2023-10-06 09:46:21,2023-11-07 16:43:35,32.29
STH-0000016,OPP-000005,2,2-Test Drive / Demo,2023-11-07 16:43:35,2023-11-18 21:26:47,11.2
STH-0000017,OPP-000005,3,3-Quotation,2023-11-18 21:26:47,2023-11-25 13:41:15,6.68
STH-0000018,OPP-000005,4,4-Negotiation,2023-11-25 13:41:15,2023-12-29 12:32:55,33.95
STH-0000019,OPP-000005,7,7-Closed Lost,2023-12-29 12:32:55,,
STH-0000020,OPP-000006,1,1-Enquiry,2023-09-28 18:22:23,2023-09-29 23:26:33,1.21
STH-0000021,OPP-000006,2,2-Test Drive / Demo,2023-09-29 23:26:33,2023-10-03 09:41:22,3.43
STH-0000022,OPP-000006,3,3-Quotation,2023-10-03 09:41:22,2023-10-07 11:21:38,4.07
STH-0000023,OPP-000006,4,4-Negotiation,2023-10-07 11:21:38,2023-10-12 11:37:33,5.01
STH-0000024,OPP-000006,5,5-Booking / PO,2023-10-12 11:37:33,2023-10-21 05:15:52,8.73
STH-0000025,OPP-000006,6,6-Closed Won,2023-10-21 05:15:52,,
STH-0000026,OPP-000007,1,1-Enquiry,2023-09-24 09:18:13,2023-09-25 09:49:20,1.02
STH-0000027,OPP-000007,2,2-Test Drive / Demo,2023-09-25 09:49:20,2023-09-26 13:06:14,1.14
STH-0000028,OPP-000007,3,3-Quotation,2023-09-26 13:06:14,2023-09-29 10:32:15,2.89
STH-0000029,OPP-000007,4,4-Negotiation,2023-09-29 10:32:15,2023-09-30 07:32:19,0.88
STH-0000030,OPP-000007,5,5-Booking / PO,2023-09-30 07:32:19,2023-10-06 18:05:50,6.44
STH-0000031,OPP-000007,6,6-Closed Won,2023-10-06 18:05:50,,
STH-0000032,OPP-000008,1,1-Enquiry,2023-09-25 08:40:46,2023-09-29 04:49:14,3.84
STH-0000033,OPP-000008,2,2-Test Drive / Demo,2023-09-29 04:49:14,2023-10-02 21:58:59,3.72
STH-0000034,OPP-000008,3,3-Quotation,2023-10-02 21:58:59,2023-10-03 11:02:12,0.54
STH-0000035,OPP-000008,4,4-Negotiation,2023-10-03 11:02:12,2023-10-10 09:12:34,6.92
STH-0000036,OPP-000008,5,5-Booking / PO,2023-10-10 09:12:34,2023-10-30 00:33:46,19.64
STH-0000037,OPP-000008,6,6-Closed Won,2023-10-30 00:33:46,,
STH-0000038,OPP-000009,1,1-Enquiry,2023-09-25 13:14:49,2023-09-26 07:32:01,0.76
STH-0000039,OPP-000009,2,2-Test Drive / Demo,2023-09-26 07:32:01,2023-09-29 05:36:58,2.92
STH-0000040,OPP-000009,3,3-Quotation,2023-09-29 05:36:58,2023-10-05 17:01:54,6.48
STH-0000041,OPP-000009,4,4-Negotiation,2023-10-05 17:01:54,2023-10-06 18:50:55,1.08
STH-0000042,OPP-000009,5,5-Booking / PO,2023-10-06 18:50:55,2023-10-31 09:53:09,24.63
STH-0000043,OPP-000009,6,6-Closed Won,2023-10-31 09:53:09,,
STH-0000044,OPP-000010,1,1-Enquiry,2023-09-29 09:02:23,2023-09-30 21:22:35,1.51
STH-0000045,OPP-000010,2,2-Test Drive / Demo,2023-09-30 21:22:35,2023-10-03 11:03:05,2.57
STH-0000046,OPP-000010,3,3-Quotation,2023-10-03 11:03:05,2023-10-04 01:01:59,0.58
STH-0000047,OPP-000010,4,4-Negotiation,2023-10-04 01:01:59,2023-10-14 17:15:01,10.68
STH-0000048,OPP-000010,7,7-Closed Lost,2023-10-14 17:15:01,,
STH-0000049,OPP-000011,1,1-Enquiry,2023-09-28 20:06:34,2023-10-02 14:04:14,3.75
STH-0000050,OPP-000011,2,2-Test Drive / Demo,2023-10-02 14:04:14,2023-10-05 13:57:42,3.0
STH-0000051,OPP-000011,7,7-Closed Lost,2023-10-05 13:57:42,,
STH-0000052,OPP-000012,1,1-Enquiry,2023-09-23 15:35:29,2023-09-26 04:09:16,2.52
STH-0000053,OPP-000012,2,2-Test Drive / Demo,2023-09-26 04:09:16,2023-10-04 07:06:09,8.12
STH-0000054,OPP-000012,3,3-Quotation,2023-10-04 07:06:09,2023-10-11 03:30:28,6.85
STH-0000055,OPP-000012,4,4-Negotiation,2023-10-11 03:30:28,2023-10-13 11:59:58,2.35
STH-0000056,OPP-000012,5,5-Booking / PO,2023-10-13 11:59:58,2023-10-28 21:39:55,15.4
STH-0000057,OPP-000012,6,6-Closed Won,2023-10-28 21:39:55,,
STH-0000058,OPP-000013,1,1-Enquiry,2023-09-27 20:59:22,2023-09-30 15:22:57,2.77
STH-0000059,OPP-000013,2,2-Test Drive / Demo,2023-09-30 15:22:57,2023-10-02 04:36:18,1.55
STH-0000060,OPP-000013,3,3-Quotation,2023-10-02 04:36:18,2023-10-03 18:01:37,1.56
STH-0000061,OPP-000013,4,4-Negotiation,2023-10-03 18:01:37,2023-10-07 22:54:37,4.2
STH-0000062,OPP-000013,5,5-Booking / PO,2023-10-07 22:54:37,2023-11-09 21:47:26,32.95
STH-0000063,OPP-000013,6,6-Closed Won,2023-11-09 21:47:26,,
STH-0000064,OPP-000014,1,1-Enquiry,2023-09-25 12:50:51,2023-09-27 05:43:53,1.7
STH-0000065,OPP-000014,2,2-Test Drive / Demo,2023-09-27 05:43:53,2023-09-29 09:40:35,2.16
STH-0000066,OPP-000014,7,7-Closed Lost,2023-09-29 09:40:35,,
STH-0000067,OPP-000015,1,1-Enquiry,2023-09-23 14:03:27,2023-09-24 17:49:34,1.16
STH-0000068,OPP-000015,2,2-Test Drive / Demo,2023-09-24 17:49:34,2023-09-25 05:22:51,0.48
STH-0000069,OPP-000015,3,3-Quotation,2023-09-25 05:22:51,2023-09-26 22:03:36,1.69
STH-0000070,OPP-000015,4,4-Negotiation,2023-09-26 22:03:36,2023-10-03 08:15:59,6.43
STH-0000071,OPP-000015,7,7-Closed Lost,2023-10-03 08:15:59,,
STH-0000072,OPP-000016,1,1-Enquiry,2023-09-29 10:48:18,2023-09-30 09:17:15,0.94
STH-0000073,OPP-000016,2,2-Test Drive / Demo,2023-09-30 09:17:15,2023-10-02 15:34:42,2.26
STH-0000074,OPP-000016,3,3-Quotation,2023-10-02 15:34:42,2023-10-05 11:15:59,2.82
STH-0000075,OPP-000016,7,7-Closed Lost,2023-10-05 11:15:59,,
STH-0000076,OPP-000017,1,1-Enquiry,2023-09-24 16:50:31,2023-09-30 01:02:03,5.34
STH-0000077,OPP-000017,2,2-Test Drive / Demo,2023-09-30 01:02:03,2023-10-02 20:38:57,2.82
STH-0000078,OPP-000017,3,3-Quotation,2023-10-02 20:38:57,2023-10-04 16:33:04,1.83
STH-0000079,OPP-000017,4,4-Negotiation,2023-10-04 16:33:04,2023-10-07 08:00:07,2.64
STH-0000080,OPP-000017,7,7-Closed Lost,2023-10-07 08:00:07,,
STH-0000081,OPP-000018,1,1-Enquiry,2023-09-26 15:45:00,2023-09-27 02:15:59,0.44
STH-0000082,OPP-000018,2,2-Test Drive / Demo,2023-09-27 02:15:59,2023-09-30 00:40:58,2.93
STH-0000083,OPP-000018,3,3-Quotation,2023-09-30 00:40:58,2023-10-06 07:47:19,6.3
STH-0000084,OPP-000018,4,4-Negotiation,2023-10-06 07:47:19,2023-10-13 10:49:40,7.13
STH-0000085,OPP-000018,7,7-Closed Lost,2023-10-13 10:49:40,,
STH-0000086,OPP-000019,1,1-Enquiry,2023-09-26 20:50:54,2023-09-27 17:35:11,0.86
STH-0000087,OPP-000019,2,2-Test Drive / Demo,2023-09-27 17:35:11,2023-09-30 18:32:33,3.04
STH-0000088,OPP-000019,3,3-Quotation,2023-09-30 18:32:33,2023-10-05 04:46:15,4.43
STH-0000089,OPP-000019,4,4-Negotiation,2023-10-05 04:46:15,2023-10-07 00:24:22,1.82
STH-0000090,OPP-000019,7,7-Closed Lost,2023-10-07 00:24:22,,
STH-0000091,OPP-000020,1,1-Enquiry,2023-09-23 14:29:55,2023-09-26 20:04:18,3.23
STH-0000092,OPP-000020,2,2-Test Drive / Demo,2023-09-26 20:04:18,2023-09-29 21:31:57,3.06
STH-0000093,OPP-000020,7,7-Closed Lost,2023-09-29 21:31:57,,
STH-0000094,OPP-000021,1,1-Enquiry,2023-09-23 15:31:13,2023-09-26 01:53:16,2.43
STH-0000095,OPP-000021,2,2-Test Drive / Demo,2023-09-26 01:53:16,2023-09-27 07:27:43,1.23
STH-0000096,OPP-000021,3,3-Quotation,2023-09-27 07:27:43,2023-10-13 08:24:10,16.04
STH-0000097,OPP-000021,4,4-Negotiation,2023-10-13 08:24:10,2023-10-20 17:22:25,7.37
STH-0000098,OPP-000021,5,5-Booking / PO,2023-10-20 17:22:25,2023-11-26 11:42:57,36.76
STH-0000099,OPP-000021,6,6-Closed Won,2023-11-26 11:42:57,,
STH-0000100,OPP-000022,1,1-Enquiry,2023-09-23 15:58:23,2023-09-29 20:23:27,6.18
STH-0000101,OPP-000022,2,2-Test Drive / Demo,2023-09-29 20:23:27,2023-10-03 01:03:40,3.19
