MonthStart,OutletID,Channel,TargetUnits,TargetRevenueINR
2023-10-01,OUT01,Retail,90,86830000
2023-11-01,OUT01,Retail,88,84900000
2023-12-01,OUT01,Retail,70,67534000
2024-01-01,OUT01,Retail,66,63675000
2024-02-01,OUT01,Retail,58,55957000
2024-03-01,OUT01,Retail,79,76217000
2024-04-01,OUT01,Retail,60,57886000
2024-05-01,OUT01,Retail,65,62710000
2024-06-01,OUT01,Retail,63,60781000
2024-07-01,OUT01,Retail,61,58851000
2024-08-01,OUT01,Retail,62,59816000
2024-09-01,OUT01,Retail,69,66569000
2024-10-01,OUT01,Retail,98,94548000
2024-11-01,OUT01,Retail,89,85865000
2024-12-01,OUT01,Retail,70,67534000
2025-01-01,OUT01,Retail,73,70428000
2025-02-01,OUT01,Retail,65,62710000
2025-03-01,OUT01,Retail,85,82006000
2025-04-01,OUT01,Retail,67,64640000
2025-05-01,OUT01,Retail,65,62710000
2025-06-01,OUT01,Retail,62,59816000
2025-07-01,OUT01,Retail,67,64640000
2025-08-01,OUT01,Retail,72,69464000
2025-09-01,OUT01,Retail,77,74288000
2025-10-01,OUT01,Retail,98,94548000
2025-11-01,OUT01,Retail,87,83935000
2025-12-01,OUT01,Retail,70,67534000
2026-01-01,OUT01,Retail,88,84900000
2026-02-01,OUT01,Retail,73,70428000
2026-03-01,OUT01,Retail,93,89724000
2026-04-01,OUT01,Retail,76,73323000
2026-05-01,OUT01,Retail,71,68499000
2026-06-01,OUT01,Retail,64,61746000
2026-07-01,OUT01,Retail,69,66569000
2026-08-01,OUT01,Retail,71,68499000
2026-09-01,OUT01,Retail,83,80076000
2023-10-01,OUT02,Retail,93,88790000
2023-11-01,OUT02,Retail,83,79242000
2023-12-01,OUT02,Retail,61,58238000
2024-01-01,OUT02,Retail,62,59193000
2024-02-01,OUT02,Retail,56,53465000
2024-03-01,OUT02,Retail,86,82107000
2024-04-01,OUT02,Retail,57,54419000
2024-05-01,OUT02,Retail,61,58238000
2024-06-01,OUT02,Retail,53,50601000
2024-07-01,OUT02,Retail,55,52510000
2024-08-01,OUT02,Retail,62,59193000
2024-09-01,OUT02,Retail,76,72559000
2024-10-01,OUT02,Retail,93,88790000
2024-11-01,OUT02,Retail,81,77333000
2024-12-01,OUT02,Retail,66,63012000
2025-01-01,OUT02,Retail,74,70650000
2025-02-01,OUT02,Retail,59,56329000
2025-03-01,OUT02,Retail,86,82107000
2025-04-01,OUT02,Retail,69,65876000
2025-05-01,OUT02,Retail,70,66831000
2025-06-01,OUT02,Retail,65,62057000
2025-07-01,OUT02,Retail,66,63012000
2025-08-01,OUT02,Retail,73,69695000
2025-09-01,OUT02,Retail,79,75424000
2025-10-01,OUT02,Retail,89,84971000
2025-11-01,OUT02,Retail,82,78288000
2025-12-01,OUT02,Retail,75,71605000
2026-01-01,OUT02,Retail,73,69695000
2026-02-01,OUT02,Retail,67,63967000
2026-03-01,OUT02,Retail,95,90699000
2026-04-01,OUT02,Retail,73,69695000
2026-05-01,OUT02,Retail,62,59193000
2026-06-01,OUT02,Retail,60,57284000
2026-07-01,OUT02,Retail,65,62057000
2026-08-01,OUT02,Retail,79,75424000
2026-09-01,OUT02,Retail,79,75424000
2023-10-01,OUT03,Retail,84,80410000
2023-11-01,OUT03,Retail,70,67008000
2023-12-01,OUT03,Retail,66,63179000
2024-01-01,OUT03,Retail,68,65094000
2024-02-01,OUT03,Retail,61,58393000
2024-03-01,OUT03,Retail,78,74666000
2024-04-01,OUT03,Retail,56,53606000
2024-05-01,OUT03,Retail,62,59350000
2024-06-01,OUT03,Retail,50,47863000
2024-07-01,OUT03,Retail,55,52649000
2024-08-01,OUT03,Retail,64,61265000
2024-09-01,OUT03,Retail,67,64136000
2024-10-01,OUT03,Retail,81,77538000
2024-11-01,OUT03,Retail,84,80410000
2024-12-01,OUT03,Retail,63,60307000
2025-01-01,OUT03,Retail,67,64136000
2025-02-01,OUT03,Retail,58,55521000
2025-03-01,OUT03,Retail,91,87110000
2025-04-01,OUT03,Retail,69,66051000
2025-05-01,OUT03,Retail,56,53606000
2025-06-01,OUT03,Retail,61,58393000
2025-07-01,OUT03,Retail,54,51692000
2025-08-01,OUT03,Retail,69,66051000
2025-09-01,OUT03,Retail,72,68923000
2025-10-01,OUT03,Retail,87,83281000
2025-11-01,OUT03,Retail,95,90940000
2025-12-01,OUT03,Retail,75,71794000
2026-01-01,OUT03,Retail,71,67965000
2026-02-01,OUT03,Retail,68,65094000
2026-03-01,OUT03,Retail,89,85196000
2026-04-01,OUT03,Retail,70,67008000
2026-05-01,OUT03,Retail,70,67008000
2026-06-01,OUT03,Retail,62,59350000
2026-07-01,OUT03,Retail,55,52649000
2026-08-01,OUT03,Retail,64,61265000
2026-09-01,OUT03,Retail,84,80410000
2023-10-01,OUT04,Retail,74,71158000
2023-11-01,OUT04,Retail,66,63465000
2023-12-01,OUT04,Retail,58,55773000
2024-01-01,OUT04,Retail,59,56734000
2024-02-01,OUT04,Retail,52,50003000
2024-03-01,OUT04,Retail,75,72120000
2024-04-01,OUT04,Retail,53,50965000
2024-05-01,OUT04,Retail,53,50965000
2024-06-01,OUT04,Retail,52,50003000
2024-07-01,OUT04,Retail,49,47118000
2024-08-01,OUT04,Retail,53,50965000
2024-09-01,OUT04,Retail,66,63465000
2024-10-01,OUT04,Retail,76,73081000
2024-11-01,OUT04,Retail,79,75966000
2024-12-01,OUT04,Retail,55,52888000
2025-01-01,OUT04,Retail,63,60581000
2025-02-01,OUT04,Retail,64,61542000
2025-03-01,OUT04,Retail,70,67312000
2025-04-01,OUT04,Retail,58,55773000
2025-05-01,OUT04,Retail,53,50965000
2025-06-01,OUT04,Retail,53,50965000
2025-07-01,OUT04,Retail,49,47118000
2025-08-01,OUT04,Retail,66,63465000
2025-09-01,OUT04,Retail,63,60581000
2025-10-01,OUT04,Retail,84,80774000
2025-11-01,OUT04,Retail,80,76928000
2025-12-01,OUT04,Retail,63,60581000
2026-01-01,OUT04,Retail,66,63465000
2026-02-01,OUT04,Retail,60,57696000
2026-03-01,OUT04,Retail,78,75004000
2026-04-01,OUT04,Retail,66,63465000
2026-05-01,OUT04,Retail,61,58657000
2026-06-01,OUT04,Retail,62,59619000
2026-07-01,OUT04,Retail,59,56734000
2026-08-01,OUT04,Retail,68,65389000
2026-09-01,OUT04,Retail,73,70196000
2023-10-01,OUT05,Retail,54,52150000
2023-11-01,OUT05,Retail,54,52150000
2023-12-01,OUT05,Retail,45,43458000
2024-01-01,OUT05,Retail,46,44424000
2024-02-01,OUT05,Retail,44,42493000
2024-03-01,OUT05,Retail,62,59876000
2024-04-01,OUT05,Retail,42,40561000
2024-05-01,OUT05,Retail,41,39595000
2024-06-01,OUT05,Retail,43,41527000
2024-07-01,OUT05,Retail,42,40561000
2024-08-01,OUT05,Retail,43,41527000
2024-09-01,OUT05,Retail,51,49253000
2024-10-01,OUT05,Retail,62,59876000
2024-11-01,OUT05,Retail,57,55047000
